disease,symptoms,causes,solution,prevention
Apple__Apple_scab,"Brown or olive-green spots on leaves and fruit, eventually turning dark and scabby. Infected leaves may twist, pucker, or fall early.","Fungal pathogen Venturia inaequalis, thrives in cool, wet spring weather.",Apply fungicides like Captan or Mancozeb and remove infected leaves.,"Plant resistant varieties, rake and destroy fallen leaves, ensure good air circulation with proper pruning."
Apple__Black_rot,"Purple spots on leaves, rotting fruit with concentric rings, and cankers on branches.","Fungus Botryosphaeria obtusa, favors warm, humid conditions.",Use copper-based fungicides and ensure proper spacing for air circulation.,"Prune out dead or diseased wood, remove mummified fruit, maintain tree vigor with proper fertilization."
Apple__Cedar_apple_rust,"Bright orange-yellow spots on leaves and fruit, sometimes with small black dots in the center.","Fungus Gymnosporangium juniperi-virginianae, requires both apple trees and junipers to complete lifecycle.","Apply fungicides such as myclobutanil, and remove infected leaves.","Remove nearby juniper or cedar trees if possible, plant resistant varieties."
Apple__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,"Maintain proper care and monitoring, no disease detected.","Regular pruning, appropriate fertilization, consistent watering, and preventive fungicide program."
Blueberry__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,"Ensure proper irrigation, prune any dead or damaged branches.","Maintain soil pH between 4.5-5.5, mulch with pine needles or acidic compost, adequate spacing between plants."
Cherry_(including_sour)__Powdery_mildew,"White powdery substance on leaves, shoots, and sometimes fruit, causing leaf curling and stunted growth.","Fungus Podosphaera clandestina, favors high humidity with moderate temperatures.",Apply sulfur-based fungicides and prune affected branches.,"Ensure good air circulation, avoid overhead irrigation, plant resistant varieties."
Cherry_(including_sour)__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Regularly inspect for pests and diseases and prune dead branches.,"Maintain proper pruning, adequate spacing, appropriate fertilization, and irrigation."
Corn_(maize)__Cercospora_leaf_spot Gray_leaf_spot,"Small, rectangular lesions that are tan to gray with yellow halos, eventually merging to create large necrotic areas.","Fungus Cercospora zeae-maydis, thrives in humid conditions with heavy dew.",Apply fungicides like Chlorothalonil and avoid excessive irrigation.,"Crop rotation, tillage to bury crop residue, plant resistant hybrids, improve field drainage."
Corn_(maize)__Common_rust_,"Small, round to elongate brown to reddish-brown pustules on both leaf surfaces, husks, and tassels.","Fungus Puccinia sorghi, favors cool temperatures (60-77Â°F) and high humidity.",Apply rust-resistant corn varieties and use fungicides like Azoxystrobin.,"Plant resistant hybrids, early planting to avoid optimal rust conditions, eliminate alternate hosts."
Corn_(maize)__Northern_Leaf_Blight,"Long, elliptical, grayish-green to tan lesions that develop on leaves, can lead to significant leaf loss.","Fungus Exserohilum turcicum, favors moist conditions with moderate temperatures.",Use resistant varieties and apply fungicides like Chlorothalonil.,"Crop rotation, tillage to bury crop residue, plant resistant hybrids, optimal plant spacing."
Corn_(maize)__healthy,"No symptoms of disease, vibrant green leaves, healthy tassel and ear development.",N/A,Ensure proper irrigation and pest control practices.,"Crop rotation, balanced fertilization, proper plant spacing, regular monitoring."
Grape__Black_rot,"Small, dark spots on leaves that enlarge and develop tan centers with black borders. Fruit shrivels into black, hard 'mummies'.","Fungus Guignardia bidwellii, favors warm, humid conditions.",Apply fungicides like Mancozeb and prune affected parts.,"Remove mummified berries and infected leaves, ensure proper canopy management for air circulation."
Grape__Esca_(Black_Measles),"Red-brown spots between leaf veins that merge to form stripes, fruit with purple spotting.","Complex of fungi including Phaeomoniella chlamydospora and Phaeoacremonium species, enters through pruning wounds.","Remove and destroy infected vines, and apply fungicides.","Prune during dry weather, seal large pruning cuts, avoid stress to vines."
Grape__Leaf_blight_(Isariopsis_Leaf_Spot),"Small, reddish spots with dark borders that enlarge and cause tissue death, leaves may drop prematurely.","Fungus Pseudocercospora vitis (formerly Isariopsis leaf spot), thrives in warm, wet conditions.",Apply fungicides like Chlorothalonil and avoid overhead irrigation.,"Remove fallen leaves, improve air circulation through proper pruning, maintain proper vine nutrition."
Grape__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Maintain proper care and monitor for pests regularly.,"Regular pruning for good air circulation, balanced fertilization, adequate spacing between vines."
Orange__Haunglongbing_(Citrus_greening),"Yellow mottling of leaves not following vein patterns, lopsided bitter fruit, twig dieback.",Bacteria Candidatus Liberibacter spread by Asian citrus psyllid insect.,No cure available; remove and destroy infected trees to prevent spread.,"Control psyllid populations with insecticides, plant disease-free stock, inspect regularly."
Peach__Bacterial_spot,"Small water-soaked lesions on leaves that turn purple-brown, fruit with deep pits and cracks.","Bacteria Xanthomonas arboricola pv. pruni, spreads in warm, wet conditions.",Apply copper-based bactericides and ensure good air circulation.,"Plant resistant varieties, avoid overhead irrigation, maintain proper tree nutrition."
Peach__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Maintain regular pruning and fertilization for strong growth.,"Regular pruning, balanced fertilization, proper irrigation, pest monitoring."
Pepper_bell__Bacterial_spot,Small water-soaked spots on leaves and fruit that enlarge and turn brown with yellow halos.,"Bacteria Xanthomonas campestris pv. vesicatoria, spreads by wind, rain, and handling.",Apply copper-based sprays and rotate crops to prevent recurrence.,"Use disease-free seeds, avoid overhead watering, practice crop rotation."
Pepper_bell__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Ensure consistent watering and proper spacing between plants.,"Proper spacing, consistent irrigation, balanced fertilization, regular monitoring for pests."
Potato__Early_blight,Dark brown to black concentric rings forming target-like patterns on lower leaves first.,"Fungus Alternaria solani, favors warm, wet conditions.",Apply fungicides and practice crop rotation with non-host plants.,"Mulch around plants, avoid overhead irrigation, ensure adequate plant spacing."
Potato__Late_blight,Water-soaked pale to dark green spots on leaves that quickly enlarge to become brown-black and oily-looking.,"Oomycete Phytophthora infestans, favors cool, moist conditions.",Apply fungicides containing chlorothalonil or mancozeb as preventive measure.,"Plant resistant varieties, destroy volunteer potatoes, eliminate cull piles, improve air circulation."
Potato__healthy,"No symptoms of disease, vibrant green leaves, healthy tuber development.",N/A,Maintain proper hilling and avoid overhead irrigation.,"Crop rotation, plant certified seed potatoes, proper hilling, adequate spacing."
Raspberry__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Prune canes regularly and maintain proper plant spacing.,"Remove spent floricanes after harvest, ensure good air circulation, avoid overhead irrigation."
Soybean__healthy,"No symptoms of disease, vibrant green leaves, healthy pod development.",N/A,Practice crop rotation and maintain optimal soil pH.,"Rotate with non-host crops, ensure proper drainage, use disease-free seeds."
Squash__Powdery_mildew,White powdery spots on leaves and stems that enlarge to cover entire surfaces.,"Fungi of the Erysiphaceae family, favors dry conditions with high humidity.",Apply sulfur-based fungicides and ensure proper air circulation.,"Plant resistant varieties, ensure proper spacing, avoid overhead irrigation."
Strawberry__Leaf_scorch,Small purple spots on leaves that enlarge and develop red-purple borders with tan to gray centers.,"Fungus Diplocarpon earlianum, spreads during warm, wet conditions.",Remove infected leaves and apply fungicides like captan or copper-based products.,"Use disease-free plants, ensure good air circulation, avoid overhead irrigation."
Strawberry__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Maintain proper irrigation and remove runners as needed.,"Plant in well-drained soil, use mulch, practice crop rotation, remove runners to prevent overcrowding."
Tomato__Bacterial_spot,"Small water-soaked spots on leaves, stems and fruit that enlarge and turn dark brown to black.","Bacteria Xanthomonas campestris pv. vesicatoria, spreads in warm, wet conditions.",Apply copper-based bactericides and remove infected plant material.,"Use disease-free seeds, avoid overhead watering, rotate crops, maintain proper spacing."
Tomato__Early_blight,Dark brown spots with concentric rings forming a target-like pattern on lower leaves first.,"Fungus Alternaria solani, favors warm, humid conditions.",Apply fungicides containing chlorothalonil or copper and remove lower infected leaves.,"Mulch around plants, stake or cage plants for better air circulation, avoid overhead irrigation."
Tomato__Late_blight,"Water-soaked gray-green spots on leaves that quickly turn brown-black, white fuzzy growth on undersides in moist conditions.","Oomycete Phytophthora infestans, favors cool, wet conditions.",Apply fungicides preventively and remove infected plants entirely to prevent spread.,"Improve air circulation, avoid overhead irrigation, plant resistant varieties, rotate crops."
Tomato__Leaf_Mold,Yellow spots on upper leaf surfaces with olive-green to gray fuzzy growth on undersides.,"Fungus Passalora fulva (formerly Fulvia fulva), favors high humidity and moderate temperatures.",Improve air circulation and apply fungicides containing chlorothalonil.,"Reduce humidity in greenhouses, space plants properly, prune for better air flow, avoid overhead irrigation."
Tomato__Septoria_leaf_spot,"Small, circular spots with dark borders and light gray centers, usually appearing on lower leaves first.","Fungus Septoria lycopersici, spreads in warm, wet conditions.",Apply fungicides containing chlorothalonil or copper and remove infected leaves.,"Use mulch, avoid overhead watering, ensure adequate spacing, practice crop rotation."
Tomato__Spider_mites Two-spotted_spider_mite,"Tiny yellow speckling on leaves, fine webbing on undersides of leaves, bronzing of foliage.","Arachnid Tetranychus urticae, thrives in hot, dry conditions.","Apply miticides or insecticidal soap, increase humidity around plants.","Regularly mist plants to increase humidity, maintain proper irrigation, introduce predatory mites."
Tomato__Target_Spot,"Brown to dark brown concentric rings on leaves, stems and fruit.","Fungus Corynespora cassiicola, favors warm, humid conditions.",Apply fungicides containing chlorothalonil and ensure good air circulation.,"Maintain proper plant spacing, avoid overhead irrigation, rotate crops."
Tomato__Tomato_Yellow_Leaf_Curl_Virus,"Leaves curl upward and inward, yellowing along leaf margins, stunted growth, flower drop.",Tomato yellow leaf curl virus (TYLCV) transmitted by whiteflies.,"No cure; remove and destroy infected plants, control whitefly populations.","Use virus-resistant varieties, use reflective mulches to repel whiteflies, install insect screening."
Tomato__Tomato_mosaic_virus,"Mottled light and dark green on leaves, leaves may be curled or distorted, yellow streaking on fruit.","Tobacco mosaic virus or tomato mosaic virus, highly contagious through handling and tools.",No cure; remove and destroy infected plants to prevent spread.,"Use virus-resistant varieties, wash hands and disinfect tools, don't smoke near plants (tobacco can carry the virus)."
Tomato__healthy,"No symptoms of disease, vibrant green leaves, healthy fruit development.",N/A,Maintain proper watering and fertilization schedules.,"Regular pruning, proper spacing, consistent watering, balanced fertilization, crop rotation."
